,fighter_name,height,weight
419,Bubba Bush,182.88,83.99000000000001
420,Bubba Jenkins,170.18,65.83
421,Bubba McDaniel,190.5,83.99000000000001
422,Bubba Pugh,177.8,83.99000000000001
423,Buck Meredith,187.96,83.99000000000001
424,Buddy Roberts,187.96,83.99000000000001
425,Byron Bloodworth,172.72,61.29
426,CB Dollaway,187.96,83.99000000000001
427,CJ Fernandes,187.96,77.18
428,CJ Hamilton,170.18,56.75
429,CJ Keith,182.88,70.37
430,CM Punk,185.42,77.18
431,Cain Carrizosa,172.72,70.37
432,Cain Velasquez,185.42,108.96000000000001
433,Caio Magalhaes,185.42,83.99000000000001
434,Cal Worsham,180.34,104.42
435,Cale Yarbrough,185.42,83.99000000000001
436,Callan Potter,182.88,70.37
437,Calvin Kattar,180.34,65.83
438,Cameron Dollar,180.34,70.37
439,Cameron Olson,185.42,93.07000000000001
440,Canaan Kawaihae,182.88,65.83
441,Caol Uno,170.18,70.37
442,Carina Damm,162.56,61.29
443,Carl Malenko,180.34,90.8
444,Carl Seumanutafa,185.42,115.77000000000001
445,Carla Esparza,154.94,52.21
446,Carlo Pedersoli,180.34,77.18
447,Carlo Prater,180.34,70.37
448,Carlos Barreto,193.04,104.42
449,Carlos Candelario,172.72,56.75
450,Carlos Condit,187.96,77.18
451,Carlos Eduardo Rocha,177.8,77.18
452,Carlos Felipe,182.88,111.23
453,Carlos Huachin,162.56,61.29
454,Carlos Newton,175.26,77.18
455,Carlos Zevallos,182.88,93.07000000000001
456,Carls John De Tomas,165.1,56.75
457,Carlton Jones,185.42,102.15
458,Carmelo Marrero,182.88,93.07000000000001
459,Caros Fodor,175.26,70.37
460,Carter Williams,185.42,120.31
461,Casey Huffman,190.5,83.99000000000001
462,Casey Kenney,170.18,61.29
463,Casey Olson,170.18,65.83
464,Cat Zingano,167.64000000000001,65.83
465,Cathal Pendred,185.42,77.18
466,Cesar Arzamendia,180.34,70.37
467,Cesar Gracie,177.8,82.174
468,Cezar Ferreira,185.42,83.99000000000001
469,Chad Cook,187.96,93.07000000000001
470,Chad Corvin,195.57999999999998,115.77000000000001
471,Chad George,167.64000000000001,61.29
472,Chad Griggs,185.42,93.07000000000001
473,Chad Laprise,177.8,77.18
474,Chad Leonhardt,182.88,77.18
475,Chad Mendes,167.64000000000001,65.83
476,Chad Reiner,180.34,77.18
477,Chad Robichaux,162.56,61.29
478,Chad Sutton,185.42,83.99000000000001
479,Chad Vance,182.88,83.99000000000001
480,Chad W. Saunders,177.8,77.18
481,Chael Sonnen,185.42,93.07000000000001
482,Chalid Arrab,180.34,93.07000000000001
483,Chan Sung Jung,170.18,65.83
484,Chance Farrar,175.26,65.83
485,Chance Rencountre,187.96,77.18
486,Chanmi Jeon,165.1,52.21
487,Charlene Gellner,157.48000000000002,56.75
488,Charles Bennett,172.72,70.37
489,Charles Byrd,177.8,83.99000000000001
490,Charles Jourdain,175.26,70.37
491,Charles McCarthy,177.8,83.99000000000001
492,Charles Oliveira,177.8,70.37
493,Charles Rosa,175.26,65.83
494,Charlie Brenneman,177.8,70.37
495,Charlie Kohler,175.26,70.37
496,Charlie Ontiveros,187.96,77.18
497,Charlie Valencia,160.02,61.29
498,Charlie Ward,180.34,77.18
499,Charon Spain,175.26,70.37
500,Chas Skelly,180.34,65.83
501,Chase Beebe,170.18,61.29
502,Chase Gormley,190.5,120.31
503,Chase Hooper,185.42,65.83
504,Chase Sherman,193.04,113.5
505,Chase Waldon,185.42,83.99000000000001
506,Chatt Lavender,172.72,77.18
507,Che Mills,185.42,77.18
508,Cheick Kongo,193.04,108.96000000000001
509,Chel Erwin-Davis,182.88,77.18
510,Cheyden Leialoha,172.72,61.29
511,Chibwikem Onyenegecha-Palmer,190.5,83.99000000000001
512,Chico Camus,167.64000000000001,56.75
513,Chidi Njokuani,190.5,77.18
514,Chris Avila,177.8,65.83
515,Chris Beal,170.18,56.75
516,Chris Birchler,190.5,93.07000000000001
517,Chris Brennan,172.72,77.18
518,Chris Camozzi,187.96,83.99000000000001
519,Chris Cariaso,160.02,56.75
520,Chris Clements,177.8,77.18
521,Chris Condo,182.88,152.09
522,Chris Cope,182.88,77.18
523,Chris Curtis,177.8,77.18
524,Chris Dempsey,177.8,83.99000000000001
525,Chris Drumm,172.72,65.83
526,Chris Fishgold,172.72,65.83
527,Chris Gruetzemacher,172.72,70.37
528,Chris Guillen,182.88,108.96000000000001
529,Chris Gutierrez,175.26,61.29
530,Chris Haseman,180.34,93.07000000000001
531,Chris Hawk,185.42,93.07000000000001
